position,title,lat,lng,location_near,location_normal,location_far
39,장안동,37.286093,127.012585,"6, 28, 29, 31,
  35, 36, 37, 38, 39","2, 6, 8, 9, 28, 29,
  30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 44, 45, 46, 47, 48","1, 2, 5, 6, 7, 8, 9,
  11, 12, 13, 17, 18, 19, 23, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39,
  40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 52"
40,교동,37.270076,127.012561,"30, 32, 33,
  34, 40, 41, 43, 44, 45","12, 13, 23, 28, 29,
  30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49","2, 6, 7, 8, 9, 12,
  13, 14, 16, 17, 18, 19, 22, 23, 24, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37,
  38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51"
41,매교동,37.26799,127.016044,"30, 32, 33,
  34, 40, 41, 43, 44, 49","12, 23, 28, 29, 30,
  31, 32, 33, 34, 35, 36, 38, 40, 41, 42, 43, 44, 45, 47, 49","2, 6, 8, 9, 12, 13,
  14, 16, 17, 18, 19, 22, 23, 24, 25, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37,
  38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 55"
42,매산로1가,37.267697,127.001366,"42, 43, 44, 45","12, 13, 17, 28, 29,
  30, 31, 32, 33, 34, 40, 41, 42, 43, 44, 45, 46","2, 5, 6, 7, 8, 9, 12,
  13, 14, 16, 17, 18, 19, 23, 24, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38,
  39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49"
43,매산로2가,37.267961,127.005292,"40, 41, 42,
  43, 44, 45","12, 13, 17, 28, 29,
  30, 31, 32, 33, 34, 38, 40, 41, 42, 43, 44, 45, 46, 49","2, 6, 7, 8, 9, 12,
  13, 14, 16, 17, 18, 19, 22, 23, 24, 25, 28, 29, 30, 31, 32, 33, 34, 35, 36,
  37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50"
44,매산로3가,37.268421,127.008578,"33, 40, 41,
  42, 43, 44, 45","12, 13, 17, 23, 28,
  29, 30, 31, 32, 33, 34, 35, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49","2, 6, 7, 8, 9, 12,
  13, 14, 16, 17, 18, 19, 22, 23, 24, 25, 28, 29, 30, 31, 32, 33, 34, 35, 36,
  37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50"
45,고등동,37.273725,127.005186,"40, 42, 43,
  44, 45, 46","6, 13, 17, 28, 29,
  30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49","2, 5, 6, 7, 8, 9, 12,
  13, 14, 16, 17, 18, 19, 23, 24, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38,
  39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50"
46,화서동,37.281155,126.998921,"45, 46","2, 6, 17, 28, 29, 30,
  31, 32, 33, 34, 35, 37, 38, 39, 40, 42, 43, 44, 45, 46","1, 2, 4, 5, 6, 7, 8,
  9, 12, 13, 14, 17, 18, 19, 23, 26, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37,
  38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49"
47,지동,37.280543,127.024628,"28, 29, 30,
  31, 32, 34, 35, 36, 37, 47, 48","6, 9, 28, 29, 30, 31,
  32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 44, 45, 47, 48, 49","2, 6, 7, 8, 9, 11, 12
  ,13, 17, 23, 24, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42,
  43, 44, 45, 46, 47, 48, 49, 50, 51, 52"
48,우만동,37.284776,127.032053,"36, 47, 48","6, 9, 28, 29, 30, 31,
  32, 33, 34, 35, 36, 37, 38, 39, 47, 48, 49","2, 6, 7, 8, 9, 11,
  12, 23, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44,
  45, 46, 47, 48, 49, 50, 51, 52, 53"
49,인계동,37.269442,127.025008,"32, 33, 34,
  41, 49","12, 23, 28, 29, 30,
  31, 32, 33, 34, 35, 36, 37, 38, 40, 41, 43, 44, 45, 47, 48, 49","2, 6, 8, 9, 12, 13,
  17, 22, 23, 24, 25, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41,
  42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 55"
50,매탄동,37.266125,127.047474,"50, 51","50, 51, 55","9, 12, 22, 23, 24,
  28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 43, 44, 45, 47, 48,
  49, 50, 51, 52, 53, 54, 55, 56"
51,원천동,37.270674,127.055251,"50, 51","50, 51","9, 23, 28, 29, 30,
  31, 32, 33, 34, 35, 36, 37, 40, 41, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56"
52,이의동,37.297806,127.048455,52,"9, 52","6, 8, 9, 11, 28, 29,
  30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 47, 48, 49, 50, 51, 52, 53"
53,하동,37.292083,127.07,53,53,"9, 48, 50, 51, 52, 53"
54,영통동,37.252109,127.074216,54,54,"50, 51, 54, 55, 56"
55,신동,37.248964,127.049703,"55, 56","50, 55, 56","12, 22, 23, 24, 25,
  34, 41, 49, 50, 51, 54, 55, 56"
56,망포동,37.241534,127.055833,"55, 56","55, 56","22, 23, 24, 25, 50,
  51, 54, 55, 56"
